title,subtitle,price,description,link,main_image,alternate_image
SuperSix EVOLAB71,LAB71,"$16,000","Our ultimate road race bike, with SRAM RED AXS, Reserve Turbulent Aero 42/49 wheels, and SystemBar R-One cockpit.",/en-us/bikes/road/race/supersix-evo/supersix-evo-lab71,https://embed.widencdn.net/img/dorelrl/vgznwkzbhy/500px@1x/C24_C11064U_LAB71_SuperSix_EVO_BPT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/gzrim6x7mc/500px@1x/C24_C11064U_LAB71_SuperSix_EVO_BPT_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOLAB71,LAB71,"$15,000","The ultimate road race bike, with Dura-Ace Di2, HollowGram R-SL 50 wheels and R-One SystemBar",/en-us/bikes/road/race/supersix-evo/supersix-evo-lab71/2023,https://embed.widencdn.net/img/dorelrl/yzgnk85vax/500px@1x/C23_C11052U_SuperSix_EVO_LAB71_MOX_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/i5hvubtijg/500px@1x/C23_C11052U_SuperSix_EVO_LAB71_MOX_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOLAB71 Team,LAB71 Team,"$14,000","A limited-production version of our pro-grade road racing bike, featuring a Series 0 carbon construction frameset and 100% team spec.",/en-us/bikes/road/race/supersix-evo/supersix-evo-lab71-team-c11105u,https://embed.widencdn.net/img/dorelrl/klkctorxgt/500px@1x/C24_C11105U_LAB71_SuperSix_EVO_Team_ERP_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/egyhj3n3s5/500px@1x/C24_C11105U_LAB71_SuperSix_EVO_Team_ERP_3Q.jpg?color=f8f8f8&q=90
Moterra SLLAB71,LAB71,"$14,000","The ultimate lightweight, full power, trail eMTB, with Fox Float Factory suspension, SRAM XX wireless shifting & DT Swiss XMC 1501 carbon wheels",/en-us/bikes/electric/e-mountain/moterra-sl/moterra-sl-lab71-c65114u,https://embed.widencdn.net/img/dorelrl/3hhycofy1t/500px@1x/C24_C65114U_LAB71_Moterra_Neo_SL_BPT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/okmjzb6rua/500px@1x/C24_C65114U_LAB71_Moterra_Neo_SL_BPT_3Q.jpg?color=f8f8f8&q=90
ScalpelSE LAB71,SE LAB71,"$14,000","The ultimate super-fast XC/trail bike, with SRAM’s XX SL Transmission, Lefty Ocho Carbon 120 & HollowGram XC-27 S carbon wheels",/en-us/bikes/mountain/trail-bikes/scalpel-se/scalpel-se-lab71,https://embed.widencdn.net/img/dorelrl/6xw1ieujom/500px@1x/C23_C24143U_LAB71_Scalpel_SE_GMG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/0oerraik9d/500px@1x/C23_C24143U_LAB71_Scalpel_SE_GMG_3Q.jpg?color=f8f8f8&q=90
ScalpelLAB71,LAB71,"$14,000","The ultimate cross-country ripper - 120mm travel, Lefty Ocho Carbon, SRAM XX SL AXS, DT Swiss XRC 1200 carbon wheels",/en-us/bikes/mountain/cross-country/scalpel/scalpel-lab71,https://embed.widencdn.net/img/dorelrl/ts4u6qklue/500px@1x/C24_C24103U_LAB71_Scalpel_BPT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/rw3kz767zy/500px@1x/C24_C24103U_LAB71_Scalpel_BPT_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOHi-MOD 1,Hi-MOD 1,"$13,500","Exceptionally fast and light road race bike, with SRAM RED AXS, HollowGram R-SL 50 wheels and R-One SystemBar",/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-1,https://embed.widencdn.net/img/dorelrl/jvt3rhstnl/500px@1x/C23_C11102U_SuperSix_EVO_HM_1_MRC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/dpw2umzfjk/500px@1x/C23_C11102U_SuperSix_EVO_HM_1_MRC_3Q.jpg?color=f8f8f8&q=90
SystemSixHi-MOD Dura-Ace Di2,Hi-MOD Dura-Ace Di2,"$13,050",Our fastest aero road bike with 2x12 electronic Shimano Dura-Ace shifting & carbon wheels,/en-us/bikes/road/race/systemsix/systemsix-hi-mod-dura-ace-di2-c11131u,https://embed.widencdn.net/img/dorelrl/zico7b681a/500px@1x/C21_C11131U_SystemSix_HM_DA_Di2_MRC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/z1wyhrqssw/500px@1x/C21_C11131U_SystemSix_HM_DA_Di2_MRC_3Q.jpg?color=f8f8f8&q=90
ScalpelHi-MOD Ultimate,Hi-MOD Ultimate,"$12,000","The ultimate XC race machine - SRAM XX1 AXS wireless shifting, Lefty Ocho Carbon and HollowGram 25 carbon wheels",/en-us/bikes/mountain/cross-country/scalpel/scalpel-hi-mod-ultimate,https://embed.widencdn.net/img/dorelrl/6kk1equb0d/500px@1x/C22_C24102M_Scalpel_HM_ULT_TRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/m5ivfmuacj/500px@1x/C22_C24102M_Scalpel_HM_ULT_TRD_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOHi-MOD Disc Dura-Ace Di2,Hi-MOD Disc Dura-Ace Di2,"$13,050",Our lightest frame with 2x12 electronic Shimano Dura-Ace shifting & carbon wheels,/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-disc-dura-ace-di2-c11101u,https://embed.widencdn.net/img/dorelrl/2qhqqcfus0/500px@1x/C21_C11101U_SuperSix_EVO_HM_Disc_DA_Di2_GMG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/d6m6y8xigg/500px@1x/C21_C11101U_SuperSix_EVO_HM_Disc_DA_Di2_GMG_3Q.jpg?color=f8f8f8&q=90
