product_id,description,website
1.0,4-Course Bundle - Machine Learning + Expert Web Applications (R-Track),https://university.business-science.io/p/4-course-bundle-machine-learning-and-web-applications-r-track-101-102-201-202a
2.0,5 Course Bundle - Machine Learning + Web Apps + Time Series,https://university.business-science.io/p/5-course-bundle-machine-learning-web-apps-time-series
3.0,Bundle - Data Science Starter Kit: R-Track - Courses 101 & 102,https://university.business-science.io/p/data-science-starter-bundle-r-track-courses-101-102
4.0,"Bundle - DS For Business + Web Apps (Level 1): R-Track - Courses 101, 102, & 201",https://university.business-science.io/p/machine-learning-web-apps-level-1-bundle-r-track-courses-101-102-201
5.0,Bundle - Machine Learning For Business: R-Track - Courses 101 & 201,https://university.business-science.io/p/data-science-for-business-ds4b-101-201-r-bundle
6.0,DS4B 101-R: Business Analysis With R,https://university.business-science.io/p/ds4b-101-r-business-analysis-r
7.0,DS4B 102-R: Shiny Web Applications (Intermediate),https://university.business-science.io/p/ds4b-102-r-shiny-web-application-business-level-1
8.0,DS4B 201-R: Data Science For Business With R,https://university.business-science.io/p/hr201-using-machine-learning-h2o-lime-to-predict-employee-turnover
9.0,DS4B 202A-R: Shiny Developer with AWS,https://university.business-science.io/p/ds4b-102-r-shiny-web-application-business-level-1
10.0,DS4B 203-R: High-Performance Time Series Forecasting,https://university.business-science.io/p/ds4b-203-r-high-performance-time-series-forecasting
11.0,Jumpstart with R - Get Jumpstarted!,https://university.business-science.io/p/jumpstart-with-v2
12.0,Learning Labs Pro,https://university.business-science.io/p/learning-labs-pro
